timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664629171458,0.38867188,-0.53619385,-0.6567993,10.796875,-11.484375,-12.734375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629171489,0.65649414,-1.0291138,-0.23297119,9.15625,-16.109375,-0.03125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629171535,0.4050293,-1.0320435,-0.30474854,13.453125,-37.28125,-12.0,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629171563,0.07836914,-0.5288696,-0.21221924,18.71875,-30.296875,-15.328125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629171606,0.15820312,-0.54400635,-0.24420166,18.734375,-3.328125,-16.703125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629171651,0.27001953,-0.6565552,-0.2210083,17.578125,-7.546875,-10.765625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629171680,0.20410156,-0.631897,-0.2300415,19.234375,-12.5,-7.265625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629171763,0.19799805,-0.75201416,-0.20245361,10.703125,-11.984375,-7.734375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629171772,0.1784668,-1.086731,-0.2617798,3.015625,-7.21875,-8.109375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629171814,0.27392578,-1.3674927,-0.27496338,-5.15625,0.671875,-15.15625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
