# Sensor type: Respeck
# Activity type: Sitting
# Activity code: 0
# Subject id: s1918275
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1664627490900,0.20703125,-0.9524536,-0.2078247,-1.140625,-0.375,-0.0625
1664627490943,0.21289062,-0.93170166,-0.20343018,-2.765625,-2.390625,-1.5
1664627490990,0.20117188,-0.95928955,-0.18048096,2.171875,-0.34375,-2.84375
1664627491021,0.1862793,-0.9536743,-0.18707275,-0.875,-0.421875,-2.140625
1664627491050,0.19262695,-0.9570923,-0.19390869,-1.65625,-1.609375,-0.625
1664627491131,0.18701172,-0.942688,-0.17828369,-1.9375,-0.359375,-0.15625
1664627491136,0.19042969,-0.96661377,-0.18756104,0.71875,-0.328125,1.8125
1664627491170,0.20751953,-0.94854736,-0.18365479,-2.578125,-0.03125,-0.734375
1664627491217,0.20019531,-0.9470825,-0.16363525,-0.109375,-1.140625,-0.53125
1664627491247,0.20776367,-0.9483032,-0.18609619,-1.875,-2.046875,-2.359375
1664627491290,0.1928711,-0.9558716,-0.1663208,0.34375,-2.203125,-3.6875
1664627491353,0.17529297,-0.96954346,-0.17755127,3.46875,-1.625,-1.375
1664627491368,0.18554688,-0.95098877,-0.17218018,-0.828125,-0.46875,-2.90625
1664627491425,0.18334961,-0.9590454,-0.16998291,-0.21875,0.203125,-0.375
1664627491440,0.17626953,-0.94244385,-0.17095947,-0.515625,0.25,-0.4375
1664627491502,0.18457031,-0.9614868,-0.17730713,-0.625,-0.03125,0.0
1664627491531,0.16210938,-0.9434204,-0.17681885,0.53125,1.921875,1.109375
1664627491562,0.16186523,-0.96881104,-0.18292236,3.078125,1.328125,2.765625
1664627491608,0.17211914,-0.9636841,-0.18341064,3.046875,1.859375,2.203125
1664627491651,0.18481445,-0.9505005,-0.18756104,1.78125,0.609375,1.78125
1664627491683,0.17602539,-0.95196533,-0.1795044,0.359375,1.203125,2.5
1664627491725,0.17944336,-0.95391846,-0.17193604,5.515625,2.25,4.578125
1664627491756,0.2133789,-0.9456177,-0.20758057,5.0,1.71875,5.40625
1664627491801,0.22338867,-0.92974854,-0.20904541,4.890625,0.625,3.171875
1664627491850,0.1953125,-0.93756104,-0.19781494,8.234375,-0.46875,3.921875
1664627491879,0.20703125,-0.954895,-0.19073486,6.21875,1.609375,2.96875
1664627491922,0.22290039,-0.9512329,-0.21661377,4.625,1.53125,2.859375
1664627491980,0.23461914,-0.92633057,-0.2341919,3.234375,1.03125,2.515625
1664627492003,0.23461914,-0.93463135,-0.23980713,1.921875,0.53125,0.8125
1664627492058,0.22192383,-0.93341064,-0.24127197,1.1875,-0.09375,0.203125
1664627492087,0.21801758,-0.9212036,-0.2420044,1.046875,-0.515625,0.03125
1664627492116,0.2175293,-0.9390259,-0.23443604,0.703125,0.40625,-0.390625
1664627492162,0.2121582,-0.9360962,-0.23345947,0.875,-0.203125,-0.515625
1664627492192,0.21826172,-0.93218994,-0.22906494,0.390625,0.1875,-0.125
