# Sensor type: Thingy
# Activity type: Sitting bent forward
# Activity code: 4
# Subject id: s1918275
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1664627583265,-0.1875,-0.27929688,0.92285156,-0.09375,-1.53125,1.59375,0.0,0.0,0.0
1664627583293,-0.18847656,-0.2763672,0.96484375,0.28125,0.15625,2.1875,0.0,0.0,0.0
1664627583325,-0.19628906,-0.27148438,0.92578125,-0.59375,-0.0625,2.0,0.0,0.0,0.0
1664627583385,-0.1875,-0.28125,0.95214844,-0.34375,-1.90625,0.84375,0.0,0.0,0.0
1664627583414,-0.20117188,-0.25878906,0.9550781,0.09375,1.03125,1.71875,0.0,0.0,0.0
1664627583473,-0.21582031,-0.2685547,0.921875,-1.0,-1.28125,0.65625,0.0,0.0,0.0
1664627583504,-0.19335938,-0.2861328,0.9609375,0.875,-1.0625,0.125,0.0,0.0,0.0
1664627583533,-0.18847656,-0.28222656,0.9345703,-0.40625,-0.625,0.0,-90.4375,-16.75,-96.1875
1664627583567,-0.19335938,-0.265625,0.9238281,0.34375,-0.3125,-1.65625,0.0,0.0,0.0
1664627583624,-0.18164062,-0.2607422,0.9501953,0.09375,-0.9375,-2.1875,0.0,0.0,0.0
1664627583654,-0.17871094,-0.265625,0.9482422,0.09375,-0.25,-1.28125,0.0,0.0,0.0
1664627583684,-0.17089844,-0.2705078,0.92578125,-0.40625,-0.4375,-1.28125,0.0,0.0,0.0
1664627583743,-0.1953125,-0.26464844,0.93847656,-0.59375,1.8125,-0.78125,0.0,0.0,0.0
1664627583774,-0.18945312,-0.26953125,0.9482422,0.15625,-0.0625,0.125,0.0,0.0,0.0
1664627583806,-0.19140625,-0.27441406,0.94433594,-0.21875,1.5,-0.3125,0.0,0.0,0.0
1664627583865,-0.1953125,-0.265625,0.9433594,0.5625,-0.875,0.5625,0.0,0.0,0.0
1664627583893,-0.19042969,-0.27441406,0.9453125,1.3125,-1.65625,1.09375,0.0,0.0,0.0
1664627583923,-0.15527344,-0.2861328,0.9433594,0.46875,-0.75,1.03125,0.0,0.0,0.0
1664627583986,-0.1875,-0.27929688,0.9501953,-0.40625,1.40625,-1.21875,0.0,0.0,0.0
1664627584016,-0.18359375,-0.26464844,0.94921875,-0.71875,1.625,-3.46875,-91.375,-15.125,-93.9375
1664627584045,-0.1953125,-0.27246094,0.9394531,-0.59375,1.5625,-4.21875,0.0,0.0,0.0
1664627584105,-0.20996094,-0.2763672,0.9472656,-0.03125,0.84375,-4.40625,0.0,0.0,0.0
1664627584134,-0.20019531,-0.27246094,0.9404297,0.8125,0.0,-3.71875,0.0,0.0,0.0
1664627584162,-0.18652344,-0.26171875,0.93847656,0.875,-0.6875,-1.96875,0.0,0.0,0.0
1664627584225,-0.17578125,-0.25,0.9501953,0.6875,-1.21875,-0.5625,0.0,0.0,0.0
1664627584253,-0.17675781,-0.2626953,0.94628906,0.875,0.0,0.375,0.0,0.0,0.0
1664627584283,-0.18066406,-0.265625,0.9394531,-0.09375,0.96875,0.96875,0.0,0.0,0.0
1664627584344,-0.19433594,-0.25878906,0.9326172,-0.09375,1.34375,1.28125,0.0,0.0,0.0
1664627584374,-0.19921875,-0.2734375,0.9394531,-0.09375,-0.125,0.71875,0.0,0.0,0.0
1664627584403,-0.203125,-0.2783203,0.9472656,0.34375,0.21875,0.125,0.0,0.0,0.0
1664627584466,-0.19042969,-0.26757812,0.9326172,0.21875,-0.5,-0.84375,0.0,0.0,0.0
1664627584494,-0.17871094,-0.27929688,0.93066406,0.21875,-0.625,-1.21875,0.0,0.0,0.0
1664627584525,-0.1875,-0.2705078,0.9501953,0.09375,-0.5625,-0.96875,-88.1875,-15.5625,-94.6875
