# Sensor type: Thingy
# Activity type: Standing
# Activity code: 100
# Subject id: s1918275
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1664889542199,-1.0039062,0.15820312,-0.09082031,-0.09375,-0.4375,2.5,0.0,0.0,0.0
1664889542240,-0.9824219,0.13085938,-0.091796875,-3.3125,2.0625,0.78125,0.0,0.0,0.0
1664889542262,-1.0048828,0.1484375,-0.07421875,-2.40625,3.0,-0.25,0.0,0.0,0.0
1664889542308,-0.9824219,0.15039062,-0.0546875,1.3125,2.3125,-0.1875,-127.8125,17.3125,-129.375
1664889542355,-1.0185547,0.1796875,-0.10644531,-3.1875,0.3125,0.0625,0.0,0.0,0.0
1664889542399,-0.97753906,0.1796875,-0.115234375,-5.53125,-0.375,0.4375,0.0,0.0,0.0
1664889542465,-0.9902344,0.14550781,-0.08691406,-6.0625,1.15625,0.84375,0.0,0.0,0.0
1664889542468,-1.0117188,0.14355469,-0.09375,-2.15625,2.875,0.84375,0.0,0.0,0.0
1664889542510,-0.9941406,0.171875,-0.080078125,-1.0,3.34375,-0.0625,0.0,0.0,0.0
1664889542558,-0.9951172,0.17773438,-0.07519531,-0.5,1.28125,0.0625,0.0,0.0,0.0
1664889542628,-0.9921875,0.19335938,-0.08203125,-0.875,0.5,-0.0625,0.0,0.0,0.0
1664889542634,-0.9638672,0.22363281,-0.107421875,-3.3125,0.375,-0.5,0.0,0.0,0.0
1664889542691,-1.0527344,0.21582031,-0.09277344,-8.3125,6.28125,-3.0625,0.0,0.0,0.0
1664889542713,-0.9765625,0.15722656,-0.07421875,-6.75,3.3125,-0.71875,0.0,0.0,0.0
1664889542762,-0.99902344,0.17285156,-0.08203125,-4.65625,3.0625,-1.9375,0.0,0.0,0.0
1664889542806,-0.99316406,0.123046875,-0.078125,-3.9375,3.53125,-3.46875,-127.5,17.125,-130.5625
1664889542850,-1.0126953,0.13769531,-0.08886719,-3.125,3.96875,-3.125,0.0,0.0,0.0
1664889542871,-1.0263672,0.12207031,-0.09375,-1.84375,0.5625,-1.65625,0.0,0.0,0.0
1664889542919,-0.9794922,0.13085938,-0.12011719,-4.0625,-0.78125,0.1875,0.0,0.0,0.0
1664889542984,-0.9736328,0.083984375,-0.06640625,-0.15625,0.90625,-0.84375,0.0,0.0,0.0
1664889542989,-0.99902344,0.01171875,0.2421875,39.9375,7.6875,3.71875,0.0,0.0,0.0
1664889543035,-0.9716797,0.17089844,-0.53027344,-56.1875,21.1875,-14.34375,0.0,0.0,0.0
1664889543074,-0.9921875,0.24316406,-0.038085938,33.125,-5.75,8.71875,0.0,0.0,0.0
1664889543120,-0.9628906,0.20605469,-0.08105469,-5.9375,-2.5,2.375,0.0,0.0,0.0
1664889543185,-1.0068359,0.20117188,-0.1171875,-29.375,0.3125,1.59375,0.0,0.0,0.0
1664889543189,-0.99902344,0.078125,-0.14355469,6.4375,1.59375,-0.5625,0.0,0.0,0.0
1664889543238,-0.9814453,0.14648438,-0.057617188,2.46875,3.59375,-2.6875,0.0,0.0,0.0
1664889543276,-1.0048828,0.21679688,-0.078125,2.09375,0.96875,-0.3125,0.0,0.0,0.0
1664889543321,-1.0097656,0.14941406,-0.09863281,-9.0625,0.125,0.5625,-128.375,18.625,-129.375
1664889543348,-0.9814453,0.12207031,-0.119140625,5.65625,-1.875,-0.59375,0.0,0.0,0.0
1664889543387,-1.0039062,0.10839844,-0.14160156,8.875,6.09375,-2.25,0.0,0.0,0.0
1664889543434,-0.9921875,0.15722656,-0.14257812,2.46875,0.4375,-0.65625,0.0,0.0,0.0
1664889543510,-0.9863281,0.13378906,-0.13671875,8.03125,-1.40625,1.03125,0.0,0.0,0.0
1664889543517,-0.9873047,0.14453125,-0.13183594,2.96875,-2.5625,-0.25,0.0,0.0,0.0
1664889543546,-0.9980469,0.16308594,-0.12792969,1.625,-1.875,-0.375,0.0,0.0,0.0
1664889543590,-0.9892578,0.15722656,-0.12695312,1.4375,-0.3125,0.0,0.0,0.0,0.0
1664889543635,-0.9980469,0.1640625,-0.10839844,-1.0,0.4375,0.6875,0.0,0.0,0.0
1664889543680,-0.9980469,0.15429688,-0.1015625,-4.0625,0.0625,1.09375,0.0,0.0,0.0
1664889543703,-1.0058594,0.12597656,-0.08984375,-5.15625,-1.03125,-0.4375,0.0,0.0,0.0
1664889543750,-0.9892578,0.21777344,-0.095703125,-0.03125,-1.59375,-4.5,0.0,0.0,0.0
1664889543816,-0.9951172,0.15722656,-0.09082031,0.8125,-1.84375,0.25,-128.375,16.5625,-129.625
1664889543840,-1.0029297,0.1015625,-0.12207031,-0.75,-2.6875,2.1875,0.0,0.0,0.0
1664889543866,-0.9892578,0.13378906,-0.12792969,-0.40625,-1.46875,2.25,0.0,0.0,0.0
